Name,Price,Rating,Review_count,Url
"uppercase Medium 23 Ltrs Tall Boy (14.6 inch) Laptop Backpack 2500EBP1 3x more water resistant sustainable bag with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","₹1,700",4.0 out of 5 stars,269,https:www.amaxon.in/sspa/click?ie=UTF8&spc=MTo1Nzc0MzY3NTMwNDAyNTk5OjE2OTI4MDM1NTQ6c3BfYXRmX25leHQ6MjAwNjU1MzM2ODQ1OTg6OjA6Og&url=%2Fuppercase-ltrs-backpack-INVALID-DATA_red%2Fdp%2FB0B81WST7X%2Fref%3Dsr_1_34_sspa%3Fkeywords%3Dbags%26qid%3D1692803554%26sr%3D8-34-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"Safari Sneak Casual Backpack with USB Charging Port 26 Ltrs Water Resistant Fabric - Grey, L (SNEAK19CBGRE)",₹959,3.7 out of 5 stars,"1,054",https:www.amaxon.in/Safari-Casual-Backpack-Charging-Resistant/dp/B09B2581S9/ref=sr_1_35?keywords=bags&qid=1692803554&sr=8-35
"Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L, Charcoal black",₹550,4.3 out of 5 stars,"12,382",https:www.amaxon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV/ref=sr_1_36?keywords=bags&qid=1692803554&sr=8-36
ADISA 31 Ltrs Casual Backpack School College Bag Pack,₹399,3.9 out of 5 stars,209,https:www.amaxon.in/ADISA-Casual-Backpack-College-BP046-NAV_Navy/dp/B0BX3QFVSM/ref=sr_1_37?keywords=bags&qid=1692803554&sr=8-37
Lavie Sport Chairman Backpack with Laptop Sleeve | Premium Leatherette Business Backpack for Men & Women | Durable Office Bag for Notebook/MacBook,₹849,3.9 out of 5 stars,"1,410",https:www.amaxon.in/Lavie-Sport-Chairman-Compatible-compartments/dp/B09YCSCRBW/ref=sr_1_38?keywords=bags&qid=1692803554&sr=8-38
"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",₹809,3.8 out of 5 stars,"3,163",https:www.amaxon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B26VHXV/ref=sr_1_39?keywords=bags&qid=1692803554&sr=8-39
Safari Sheild 26 Ltrs Water Resistant Casual Backpack - (SHEILD19CBBLK),₹709,4.0 out of 5 stars,562,https:www.amaxon.in/Safari-Sheild-Resistant-Casual-Backpack/dp/B09B28M2RN/ref=sr_1_40?keywords=bags&qid=1692803554&sr=8-40
LOOKMUSTER Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack…,₹613,3.8 out of 5 stars,46,https:www.amaxon.in/LOOKMUSTER-Waterproof-Backpack-College-Business/dp/B0BS6YGKMC/ref=sr_1_41?keywords=bags&qid=1692803554&sr=8-41
"Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 inches) (Compatible with 15.6 inch laptops), Navy Blue",₹399,4.3 out of 5 stars,"13,280",https:www.amaxon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07K8KLB3P/ref=sr_1_42?keywords=bags&qid=1692803554&sr=8-42
"uppercase Laptop Backpack Printed Compact 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys & Girls, 750 Days warranty (Blue)","₹1,350",4.1 out of 5 stars,102,https:www.amaxon.in/sspa/click?ie=UTF8&spc=MTo1Nzc0MzY3NTMwNDAyNTk5OjE2OTI4MDM1NTQ6c3BfbXRmOjMwMDAwNTkxNzkwODkzMjo6MDo6&url=%2Fuppercase-Backpack-1800EBP2-resistant-sustainable%2Fdp%2FB0BQYJ8WP5%2Fref%3Dsr_1_43_sspa%3Fkeywords%3Dbags%26qid%3D1692803554%26sr%3D8-43-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
